ID,S_Value,Visibility,Phase_Jitter,BitFlip,Noise
90,2.828427124,0.785605488,24.35314834,0.014300207,0.025604387
91,2.828427124,0.949920374,17.32867447,0.005426166,0.019191294
92,2.828427124,0.986370971,3.517279266,0.001598949,0.004061621
93,2.828427124,1,3.576934301,0.013889675,0.026254687
94,2.828427124,0.994407351,1.907220011,0.001303187,0.033735921
95,2.828427124,0.99644605,1.047327335,0.003297542,0.001447089
96,2.828427124,0.993246204,0.42874203,0.001003067,0.007541988
97,2.828427124,0.997253416,3.326157431,0.003914953,0.029270248
98,2.828427124,0.958917959,7.85815858,0.008920995,0.044971163
99,2.828427124,0.972552899,3.640613368,0.004987763,0.008842199
100,2.828427124,0.966743152,1.336015122,0.003225705,0.010698985
101,2.828427124,0.996464487,7.245926464,0.035949446,0.04452836
102,2.828427124,0.901217888,5.168009429,0.003291456,0.016372817
103,2.828427124,0.990770004,0.436398067,0.000165149,0.033243223
104,2.828427124,0.998126406,0.522736047,0,0.011952972
105,2.828427124,0.97429229,2.550584289,0.005036927,0.006219873
106,2.828427124,0.994881276,0.643878457,0.001079709,0.01182054
107,2.828427124,0.991514165,0.147478099,0.000673949,0.015150384
108,2.828427124,0.966979916,1.942169031,0.000887449,0.03547695
109,2.828427124,0.996903259,3.322202331,0.010589038,0.05259417
110,2.828427124,0.985445529,6.309430124,0.037765076,0.1
111,2.828427124,0.943873654,1.472283493,0.001579704,0.1
112,2.828427124,0.998742376,2.636662807,0.002230756,0.020307891
113,2.828427124,1,0.127505693,0.003498136,0.0355178
114,2.828427124,0.981288082,31.50955129,0.005435445,0.022065609
115,2.828427124,0.996381748,0.095782448,0.000825925,0.008495646
116,2.828427124,0.994923189,0.91038601,0.00225226,0.022871161
117,2.828427124,0.962295615,2.424633069,0.000907615,0.037176045
118,2.828427124,1,1.683860589,0.010860547,0.1
119,2.828427124,0.912454681,21.49764335,0.020973492,0.012267731
120,2.828427124,1,0.525903971,0.001091632,0.02555825
121,2.828427124,0.999559687,3.91724904,0.005994981,0.000553383
122,2.828427124,0.94054158,15.35627864,0.020222448,0.042763799
123,2.828427124,0.98427405,2.19685411,0.000305152,0.000473318
124,2.828427124,0.984755946,3.86585249,0.007707681,0.1
125,2.828427124,0.929767951,0.427353769,0.009981407,0.1
126,2.828427124,0.995068831,0.52547118,0.001064358,0.034012035
127,2.828427124,0.994420662,4.002558045,0.020302874,0.003653261
128,2.828427124,0.961678704,0.187302422,0.000944432,0.1
129,2.828427124,1,0.257089849,0.002146763,0.019707964
130,2.828427124,0.943480794,6.209644976,6.07721101952427e-05,0.01014372
131,2.828427124,0.985903335,1.693424109,0.00360332,0.012024453
132,2.828427124,0.996562669,0.149200786,0.002092402,0.027004225
133,2.828427124,0.995379256,1.633171327,0.005580646,0.012516029
134,2.828427124,0.999242732,1.521112626,0.01611844,0.1
135,2.828427124,0.99596694,0.097931726,0.006852446,0.040340958
136,2.828427124,0.985795173,0.393586752,0,0.033859775
137,2.828427124,0.992281468,15.36527963,0.032275801,0.035370407
138,2.828427124,0.998935894,1.673075222,0.000598371,0.040491515
139,2.828427124,0.97487512,0.535090806,0.000122976,0.036567379
140,2.828427124,0.995211914,2.330923791,0.002841307,0.005065574
141,2.828427124,0.997765513,0.940491429,0.006088673,0.029666531
